feature_set,model,train_R2,test_R2,test_MAE,test_RMSE,CV5_R2_mean,CV5_R2_std,CV5_MAE_mean,LOOCV_R2,LOOCV_MAE,best_params
FS-A: Base 4,LinearRegression,0.42,-0.4675,8.313,10.121,0.0794,0.2945,6.212,0.1456,6.118,{}
FS-A: Base 4,Ridge,0.4126,-0.3647,8.07,9.76,0.1076,0.2572,6.117,0.1716,6.001,{'model__alpha': 10}
FS-A: Base 4,Lasso,0.3694,-0.3994,8.311,9.884,0.0474,0.2421,6.299,0.0887,6.266,{'model__alpha': 1}
FS-A: Base 4,ElasticNet,0.3398,-0.1859,7.536,9.098,0.1055,0.1646,6.063,0.1527,5.992,"{'model__alpha': 1, 'model__l1_ratio': 0.1}"
FS-A: Base 4,SVR,0.6659,0.03,6.461,8.229,0.1193,0.43,5.557,0.39,4.98,"{'model__C': 100, 'model__epsilon': 0.01, 'model__gamma': 0.1}"
FS-A: Base 4,RandomForest,0.8901,-0.455,8.462,10.078,0.0398,0.5015,5.828,0.1356,5.98,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}"
FS-A: Base 4,ExtraTrees,0.884,-0.3744,8.286,9.795,-0.0072,0.5106,5.85,0.2284,5.817,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}"
FS-A: Base 4,GradientBoosting,0.9823,-0.8595,9.381,11.393,-0.3171,0.7437,6.521,-0.0773,6.632,"{'model__learning_rate': 0.01, 'model__max_depth': 4, 'model__n_estimators': 500}"
FS-B: + ratios,LinearRegression,0.5412,-0.2784,7.647,9.447,0.0901,0.284,5.943,0.2244,5.919,{}
FS-B: + ratios,Ridge,0.3563,-0.223,7.644,9.24,0.1215,0.1872,6.076,0.1645,6.014,{'model__alpha': 100}
FS-B: + ratios,Lasso,0.3748,-0.3828,8.216,9.825,0.0529,0.2408,6.303,0.1016,6.217,{'model__alpha': 1}
FS-B: + ratios,ElasticNet,0.3784,-0.2821,7.845,9.46,0.1175,0.2161,6.112,0.1626,6.035,"{'model__alpha': 1, 'model__l1_ratio': 0.1}"
FS-B: + ratios,SVR,0.5831,-0.0679,7.165,8.634,0.131,0.1771,5.789,0.2623,5.399,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 'scale'}"
